# x,y,psi,v_target -- minimum-time racing line exported by tuner.raceline_optimizer from a cone_recorder map.
# source_map=/home/Formula-Student-Driverless-Simulator/cone_map.json
# centreline_lap_time_s=38.372 raceline_lap_time_s=36.966 improvement_pct=3.66
x,y,psi,v_target
-27.1530,67.4318,-0.91959,8.9706
-26.8797,67.0881,-0.87840,8.9104
-26.5932,66.7569,-0.83673,8.8383
-26.2938,66.4388,-0.79441,8.7459
-25.9820,66.1345,-0.75118,8.6703
-25.6575,65.8445,-0.70751,8.6855
-25.3201,65.5685,-0.66457,8.7892
-24.9705,65.3063,-0.62276,8.9119
-24.6092,65.0580,-0.58189,9.0249
-24.2369,64.8237,-0.54188,9.1359
-23.8543,64.6036,-0.50270,9.2514
-23.4622,64.3978,-0.46439,9.3752
-23.0613,64.2063,-0.42700,9.5095
-22.6523,64.0293,-0.39058,9.6553
-22.2361,63.8666,-0.35519,9.8135
-21.8133,63.7181,-0.32087,9.9847
-21.3846,63.5836,-0.28767,10.1693
-20.9507,63.4628,-0.25562,10.3662
-20.5123,63.3556,-0.22473,10.5716
-20.0699,63.2615,-0.19498,10.8013
-19.6240,63.1802,-0.16624,11.0835
-19.1752,63.1114,-0.13836,11.3939
-18.7236,63.0548,-0.11157,11.8636
-18.2693,63.0099,-0.08654,12.3167
-17.8127,62.9758,-0.06358,12.7550
-17.3540,62.9516,-0.04264,13.1801
-16.8936,62.9366,-0.02368,13.5930
