t,idx,x,y
17.5495,4,33.5593,60.3626
17.5495,5,34.0109,60.1480
17.5495,6,34.4613,59.9309
17.5495,7,34.9100,59.7103
17.5495,8,35.3566,59.4856
17.5495,9,35.8010,59.2564
17.5495,10,36.2424,59.0216
17.5495,11,36.6806,58.7807
17.5495,12,37.1151,58.5334
17.5495,13,37.5451,58.2784
17.5495,14,37.9702,58.0152
17.5495,15,38.3900,57.7435
17.5495,16,38.8031,57.4619
17.5495,17,39.2089,57.1699
17.5495,18,39.6070,56.8675
17.5495,19,39.9957,56.5531
17.5495,20,40.3740,56.2262
17.5495,21,40.7414,55.8872
17.5495,22,41.0968,55.5356
17.5495,23,41.4379,55.1701
17.5495,24,41.7648,54.7920
17.5495,25,42.0771,54.4016
17.5495,26,42.3698,53.9962
17.5495,27,42.6447,53.5788
17.5495,28,42.9007,53.1495
17.5495,29,43.1341,52.7074
17.5495,30,43.3443,52.2539
17.5495,31,43.5314,51.7905
17.5495,32,43.6943,51.3178
17.5495,33,43.8288,50.8364
17.5495,34,43.9375,50.3486
17.5495,35,44.0212,49.8558
17.5495,36,44.0751,49.3588
17.5495,37,44.1021,48.8598
17.5495,38,44.1057,48.3600
17.5495,39,44.0804,47.8607
17.5495,40,44.0313,47.3633
17.5495,41,43.9616,46.8683
17.5495,42,43.8661,46.3776
17.5495,43,43.7877,46.0036
18.5997,0,39.6703,56.9378
18.5997,1,40.0778,56.6483
18.5997,2,40.4692,56.3374
18.5997,3,40.8426,56.0052
18.5997,4,41.1974,55.6531
18.5997,5,41.5315,55.2810
18.5997,6,41.8472,54.8935
18.5997,7,42.1425,54.4902
18.5997,8,42.4192,54.0737
18.5997,9,42.6738,53.6434
18.5997,10,42.9085,53.2021
18.5997,11,43.1233,52.7506
18.5997,12,43.3172,52.2898
18.5997,13,43.4892,51.8204
18.5997,14,43.6391,51.3435
18.5997,15,43.7695,50.8608
18.5997,16,43.8755,50.3722
18.5997,17,43.9580,49.8791
18.5997,18,44.0186,49.3829
18.5997,19,44.0562,48.8843
18.5997,20,44.0664,48.3845
18.5997,21,44.0512,47.8848
18.5997,22,44.0118,47.3865
