# fsae control log — tag=stanley
# t0_epoch_s=1786594711.2043  (t column is seconds since this instant)
# frame=global ENU (x east, y north, yaw right-handed, 0=+x); e_y/e_psi are front-axle Frenet errors vs the path, +ve = left/CCW
# score: fsae_control.scoring, verbatim copy of fsae_MPCTest/sim/scoring.py — lower is better
# score_is_partial=0  (1 = time_bonus/offtrack unavailable live; weighted-metric component is still directly comparable to an offline score)
# ── run configuration (enough to reproduce this exact run) ──
# controller=stanley
# use_nmpc=0
# launch.stanley_gain=1.0
# launch.map_path='/home/Formula-Student-Driverless-Simulator/ros2/src/fsae_planning/tracks/comp_test_map_3/speed_profile.csv'
# launch.path_map_path='/home/Formula-Student-Driverless-Simulator/ros2/src/fsae_planning/tracks/comp_test_map_3/raceline.csv'
# lap_time_s=51.6493
# optimal_time_s=45.4600  (ds/v_target integral over the precomputed speed profile, scaled by progress -- see LapProgressTracker)
# composite_score=0.300376
# n_steps=1139
# rmse=0.192611
# peak_lateral_error_m=0.513977
# speed_rmse_mps=3.253425
# yaw_rms_radps=0.441568
# max_yaw_rate_radps=1.390918
# control_smooth_rms=0.022592
# jerk_rms=0.038100
# steer_rms=0.108803
# accel_rms_mps2=0.000000
# max_steering_rad=0.388625
# max_accel_mps2=0.000000
# steering_sat_ratio=0.000000
# steering_reversal_rms=0.000000
# steering_reversal_rate=0.000000
# steering_reversals=0
# inaccurate_count=0
t,car_x,car_y,car_yaw,v_actual,v_desired,steer_deg,e_y,e_psi_deg,yaw_rate,delta_cmd,a_cmd,solver_failed,inaccurate,pose_age_s,path_age_s,n_delay,solve_ms,cmd_latency_ms,corner_factor,low_speed_corner_boost,corner_frac,Q_ey_base,Q_epsi_base,Q_r_base,R_steer_corner_blend,Rrate_steer_corner_blend,m_Q_ey_soften,m_R_speed,m_Rrate_corner,m_Rrate_antihunt,Q_ey_eff,Q_epsi_eff,Q_r_eff,R_steer_eff,Rrate_steer_eff,R_a_accel_eff,R_a_brake_eff,nmpc_iters,nmpc_status,nmpc_cost,nmpc_s0,nmpc_kappa_horizon_end,nmpc_pred_ey_end,nmpc_pred_epsi_end,nmpc_pred_ey_max_abs,nmpc_fyf_max_abs,nmpc_fyr_max_abs
2.0495,4.7829,-0.0559,0.00218,9.845,18.000,2.125,-0.0006,2.462,0.0594,0.037089,0.0000,0,0,,,,,0.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0998,5.1126,-0.0494,0.00464,10.170,18.000,1.953,-0.0054,2.321,0.0690,0.034089,0.0000,0,0,,,,,0.459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1491,5.8234,-0.0324,0.01146,10.829,18.000,1.753,-0.0117,2.337,0.1119,0.030602,0.0000,0,0,,,,,0.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1998,6.1892,-0.0219,0.01555,11.149,18.000,1.691,-0.0138,2.300,0.1177,0.029510,0.0000,0,0,,,,,0.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2496,6.5712,-0.0097,0.02013,11.467,18.000,1.714,-0.0153,2.235,0.1034,0.029908,0.0000,0,0,,,,,0.467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3006,6.9638,0.0041,0.02498,11.782,18.000,1.142,-0.0175,1.958,0.1561,0.019925,0.0000,0,0,,,,,0.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3496,7.7508,0.0364,0.03498,12.378,18.000,1.205,-0.0187,1.792,0.1164,0.021038,0.0000,0,0,,,,,0.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3998,8.1728,0.0567,0.04048,12.678,18.000,0.771,-0.0182,1.649,0.1665,0.013456,0.0000,0,0,,,,,0.544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4495,9.0423,0.1025,0.05129,13.262,18.000,0.800,-0.0178,1.425,0.1215,0.013964,0.0000,0,0,,,,,0.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5000,9.4931,0.1295,0.05663,13.547,18.000,0.433,-0.0170,1.305,0.1639,0.007556,0.0000,0,0,,,,,0.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5497,9.9425,0.1574,0.06177,13.819,18.000,0.437,-0.0167,1.207,0.1458,0.007620,0.0000,0,0,,,,,0.460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5998,10.4110,0.1885,0.06686,14.085,18.000,0.563,-0.0167,1.089,0.1029,0.009828,0.0000,0,0,,,,,0.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6505,10.8879,0.2224,0.07181,14.345,18.000,0.285,-0.0161,1.003,0.1359,0.004972,0.0000,0,0,,,,,0.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.7000,11.8656,0.2970,0.08042,14.821,18.000,0.428,-0.0174,0.869,0.0880,0.007464,0.0000,0,0,,,,,0.369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.7498,12.3650,0.3384,0.08430,15.033,18.000,0.202,-0.0181,0.832,0.1212,0.003528,0.0000,0,0,,,,,0.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.7994,13.3613,0.4252,0.09087,15.400,18.000,0.490,-0.0221,0.802,0.0680,0.008547,0.0000,0,0,,,,,0.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
