t,idx,x,y
7.1505,39,49.0481,39.1377
7.1505,40,49.0231,39.6371
7.1505,41,48.9977,40.1335
7.1505,42,48.9939,40.2069
8.2005,0,49.2868,34.1032
8.2005,1,49.2652,34.6027
8.2005,2,49.2433,35.1023
8.2005,3,49.2209,35.6018
8.2005,4,49.1980,36.1012
8.2005,5,49.1747,36.6007
8.2005,6,49.1509,37.1001
8.2005,7,49.1266,37.5995
8.2005,8,49.1018,38.0989
8.2005,9,49.0764,38.5983
8.2005,10,49.0505,39.0976
8.2005,11,49.0241,39.5969
8.2005,12,48.9972,40.0962
8.2005,13,48.9696,40.5954
8.2005,14,48.9415,41.0946
8.2005,15,48.9128,41.5938
8.2005,16,48.8835,42.0929
8.2005,17,48.8536,42.5921
8.2005,18,48.8230,43.0911
8.2005,19,48.7919,43.5901
8.2005,20,48.7601,44.0891
8.2005,21,48.7275,44.5881
8.2005,22,48.6944,45.0870
8.2005,23,48.6606,45.5858
8.2005,24,48.6260,46.0846
8.2005,25,48.5908,46.5834
8.2005,26,48.5549,47.0821
8.2005,27,48.5182,47.5807
8.2005,28,48.4807,48.0793
8.2005,29,48.4426,48.5779
8.2005,30,48.4036,49.0764
8.2005,31,48.3638,49.5748
8.2005,32,48.3233,50.0731
8.2005,33,48.2819,50.5714
8.2005,34,48.2398,51.0696
8.2005,35,48.1969,51.5678
8.2005,36,48.1530,52.0659
8.2005,37,48.1082,52.5638
8.2005,38,48.0615,53.0617
8.2005,39,48.0131,53.5593
8.2005,40,47.9799,53.8973
8.2005,41,47.9606,54.0964
8.2005,42,47.9409,54.2954
8.2005,43,47.9209,54.4944
8.2005,44,47.9003,54.6934
8.2005,45,47.8909,54.7842
9.2006,0,48.4153,48.9523
9.2006,1,48.3725,49.4505
9.2006,2,48.3298,49.9487
9.2006,3,48.2871,50.4468
9.2006,4,48.2443,50.9450
9.2006,5,48.2014,51.4431
9.2006,6,48.1581,51.9413
9.2006,7,48.1143,52.4394
9.2006,8,48.0702,52.9374
9.2006,9,48.0253,53.4354
9.2006,10,47.9797,53.9333
9.2006,11,47.9332,54.4311
9.2006,12,47.8858,54.9289
9.2006,13,47.8374,55.4265
9.2006,14,47.7875,55.9240
9.2006,15,47.7366,56.4214
9.2006,16,47.6843,56.9187
9.2006,17,47.6302,57.4158
9.2006,18,47.5748,57.9127
9.2006,19,47.5175,58.4094
9.2006,20,47.4583,58.9059
9.2006,21,47.3974,59.4021
9.2006,22,47.3341,59.8981
9.2006,23,47.2688,60.3938
9.2006,24,47.2012,60.8892
9.2006,25,47.1310,61.3843
9.2006,26,47.0588,61.8790
9.2006,27,46.9834,62.3733
9.2006,28,46.9054,62.8672
9.2006,29,46.8251,63.3607
9.2006,30,46.7411,63.8536
9.2006,31,46.6542,64.3460
9.2006,32,46.5638,64.8378
9.2006,33,46.4697,65.3288
9.2006,34,46.3721,65.8192
9.2006,35,46.2710,66.3089
9.2006,36,46.1665,66.7978
9.2006,37,46.0582,67.2860
9.2006,38,45.9456,67.7731
9.2006,39,45.9050,67.9472
10.2502,0,46.7515,63.9053
10.2502,1,46.6558,64.3960
10.2502,2,46.5592,64.8866
10.2502,3,46.4612,65.3769
10.2502,4,46.3615,65.8669
10.2502,5,46.2591,66.3563
10.2502,6,46.1540,66.8451
10.2502,7,46.0460,67.3333
10.2502,8,45.9342,67.8206
10.2502,9,45.8182,68.3069
10.2502,10,45.6980,68.7923
10.2502,11,45.5732,69.2764
10.2502,12,45.4424,69.7590
10.2502,13,45.3063,70.2401
10.2502,14,45.1644,70.7195
10.2502,15,45.0150,71.1967
10.2502,16,44.8589,71.6717
10.2502,17,44.6957,72.1443
10.2502,18,44.5234,72.6136
10.2502,19,44.3430,73.0799
10.2502,20,44.1540,73.5428
10.2502,21,43.9541,74.0011
10.2502,22,43.7445,74.4550
10.2502,23,43.5249,74.9041
10.2502,24,43.2926,75.3468
10.2502,25,43.0486,75.7832
10.2502,26,42.7931,76.2129
10.2502,27,42.5235,76.6340
10.2502,28,42.2403,77.0459
10.2502,29,41.9438,77.4483
10.2502,30,41.6335,77.8404
10.2502,31,41.3071,78.2190
10.2502,32,40.9657,78.5840
10.2502,33,40.6100,78.9352
10.2502,34,40.2379,79.2692
10.2502,35,39.8502,79.5846
10.2502,36,39.4494,79.8833
10.2502,37,39.0365,80.1650
10.2502,38,38.6089,80.4237
10.2502,39,38.1695,80.6615
10.2502,40,37.7208,80.8811
10.2502,41,37.4955,80.9711
10.2502,42,37.3033,81.0265
10.2502,43,37.1089,81.0727
10.2502,44,36.9125,81.1104
10.2502,45,36.7140,81.1348
