# fsae control log — tag=stanley
# t0_epoch_s=1787121949.1745  (t column is seconds since this instant)
# frame=global ENU (x east, y north, yaw right-handed, 0=+x); e_y/e_psi are front-axle Frenet errors vs the path, +ve = left/CCW
# score: fsae_control.scoring, verbatim copy of fsae_MPCTest/sim/scoring.py — lower is better
# score_is_partial=0  (1 = time_bonus/offtrack unavailable live; weighted-metric component is still directly comparable to an offline score)
# ── run configuration (enough to reproduce this exact run) ──
# controller=stanley
# use_nmpc=0
# launch.stanley_gain=1.0
# launch.map_path='/home/Formula-Student-Driverless-Simulator/ros2/src/fsae_planning/tracks/comp_test_map_3/speed_profile.csv'
# launch.path_map_path=''
# lap_time_s=56.0507
# optimal_time_s=45.4600  (ds/v_target integral over the precomputed speed profile, scaled by progress -- see LapProgressTracker)
# composite_score=0.763256
# n_steps=3579
# rmse=0.610247
# peak_lateral_error_m=3.210538
# speed_rmse_mps=1.839625
# yaw_rms_radps=0.467086
# max_yaw_rate_radps=2.026017
# control_smooth_rms=0.041178
# jerk_rms=0.067286
# steer_rms=0.155269
# accel_rms_mps2=0.000000
# max_steering_rad=0.436332
# max_accel_mps2=0.000000
# steering_sat_ratio=0.056720
# steering_reversal_rms=0.019310
# steering_reversal_rate=0.003912
# steering_reversals=14
# inaccurate_count=0
t,car_x,car_y,car_yaw,v_actual,v_desired,steer_deg,e_y,e_psi_deg,yaw_rate,delta_cmd,a_cmd,solver_failed,inaccurate,pose_age_s,path_age_s,n_delay,solve_ms,cmd_latency_ms,corner_factor,low_speed_corner_boost,corner_frac,Q_ey_base,Q_epsi_base,Q_r_base,R_steer_corner_blend,Rrate_steer_corner_blend,m_Q_ey_soften,m_R_speed,m_Rrate_corner,m_Rrate_antihunt,Q_ey_eff,Q_epsi_eff,Q_r_eff,R_steer_eff,Rrate_steer_eff,R_a_accel_eff,R_a_brake_eff,nmpc_iters,nmpc_status,nmpc_cost,nmpc_s0,nmpc_kappa_horizon_end,nmpc_pred_ey_end,nmpc_pred_epsi_end,nmpc_pred_ey_max_abs,nmpc_fyf_max_abs,nmpc_fyr_max_abs
2.0006,15.2764,0.6349,0.12973,16.185,17.956,-1.529,0.0370,-0.860,0.0954,-0.026690,0.0000,0,0,,0.0454,,,0.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0503,15.8156,0.6962,0.13134,16.277,17.912,-1.133,0.0364,-0.827,0.0323,-0.019766,0.0000,0,0,,0.0356,,,0.481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1006,16.3568,0.7565,0.13048,16.335,17.853,-0.640,0.0296,-0.647,-0.0184,-0.011163,0.0000,0,0,,0.0432,,,0.618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1503,16.8994,0.8176,0.12798,16.383,17.691,-0.050,0.0195,-0.338,-0.0614,-0.000875,0.0000,0,0,,0.0433,,,0.425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2006,17.4432,0.8798,0.12459,16.422,17.588,0.356,0.0072,0.032,-0.0608,0.006221,0.0000,0,0,,0.0441,,,0.431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.2503,17.9878,0.9432,0.12103,16.452,17.469,1.042,-0.0102,0.476,-0.0930,0.018191,0.0000,0,0,,0.0427,,,0.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3003,19.0785,1.0726,0.11555,16.483,17.201,1.479,-0.0365,1.075,-0.0496,0.025808,0.0000,0,0,,0.0407,,,0.510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.3502,19.6239,1.1398,0.11480,16.487,16.928,1.609,-0.0451,1.337,-0.0217,0.028088,0.0000,0,0,,0.0427,,,0.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4010,20.1683,1.2096,0.11582,16.471,16.790,1.496,-0.0497,1.466,0.0233,0.026108,0.0000,0,0,,0.0442,,,0.557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.4505,20.7117,1.2805,0.11852,16.443,16.650,1.374,-0.0517,1.492,0.0502,0.023982,0.0000,0,0,,0.0428,,,0.488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5006,21.2538,1.3533,0.12278,16.412,16.510,0.896,-0.0506,1.414,0.1197,0.015629,0.0000,0,0,,0.0436,,,0.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5507,21.7940,1.4276,0.12822,16.361,16.368,0.602,-0.0469,1.256,0.1412,0.010511,0.0000,0,0,,0.0422,,,0.522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6003,22.3315,1.5037,0.13447,16.290,16.226,0.495,-0.0408,1.039,0.1186,0.008635,0.0000,0,0,,0.0413,,,0.421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.6518,22.8659,1.5804,0.14081,16.199,15.936,-0.140,-0.0347,0.817,0.1871,-0.002441,0.0000,0,0,,0.0457,,,0.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.7006,23.9224,1.7369,0.15167,15.964,15.641,-0.198,-0.0263,0.387,0.1176,-0.003460,0.0000,0,0,,0.0408,,,0.658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.7501,24.4441,1.8176,0.15644,15.838,15.492,-0.435,-0.0194,0.303,0.1402,-0.007586,0.0000,0,0,,0.0444,,,0.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.8003,24.9611,1.8978,0.16017,15.699,15.341,-0.139,-0.0160,0.236,0.0752,-0.002433,0.0000,0,0,,0.0443,,,0.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.8507,25.4729,1.9782,0.16291,15.545,15.188,-0.065,-0.0141,0.220,0.0582,-0.001135,0.0000,0,0,,0.0443,,,0.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.9008,25.9789,2.0581,0.16457,15.372,15.034,0.025,-0.0147,0.265,0.0509,0.000435,0.0000,0,0,,0.0431,,,0.458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.9510,26.4656,2.1363,0.16547,15.186,14.878,0.475,-0.0254,0.480,0.0166,0.008285,0.0000,0,0,,0.0445,,,0.526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0017,26.9583,2.2168,0.16575,14.980,14.721,0.736,-0.0342,0.649,0.0062,0.012852,0.0000,0,0,,0.0436,,,0.542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.0512,27.4440,2.2971,0.16582,14.772,14.401,0.941,-0.0413,0.804,0.0023,0.016419,0.0000,0,0,,0.0416,,,0.780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1006,28.3686,2.4538,0.16620,14.384,14.074,1.124,-0.0526,0.955,0.0047,0.019612,0.0000,0,0,,0.0413,,,0.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1506,28.8351,2.5345,0.16675,14.205,13.908,1.289,-0.0485,1.199,0.0162,0.022499,0.0000,0,0,,0.0416,,,0.513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2004,29.2959,2.6156,0.16784,14.037,13.739,1.500,-0.0481,1.430,0.0199,0.026172,0.0000,0,0,,0.0388,,,0.457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.2508,29.7510,2.6970,0.16957,13.869,13.569,1.525,-0.0443,1.570,0.0376,0.026612,0.0000,0,0,,0.0415,,,0.490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3006,30.1999,2.7789,0.17197,13.689,13.396,1.431,-0.0437,1.679,0.0731,0.024979,0.0000,0,0,,0.0411,,,0.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.3498,31.0721,2.9432,0.17883,13.320,13.222,1.339,-0.0463,1.822,0.1165,0.023376,0.0000,0,0,,0.0418,,,0.367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4001,31.4902,3.0242,0.18291,13.136,13.045,1.431,-0.0479,1.878,0.1119,0.024979,0.0000,0,0,,0.0444,,,0.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.4505,31.9136,3.1078,0.18746,12.947,12.865,1.551,-0.0501,1.897,0.0964,0.027069,0.0000,0,0,,0.0447,,,0.454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5008,32.3306,3.1919,0.19219,12.759,12.683,1.199,-0.0667,1.808,0.1549,0.020919,0.0000,0,0,,0.0439,,,0.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5503,33.1138,3.3558,0.20202,12.446,12.311,1.014,-0.0755,1.322,0.1100,0.017690,0.0000,0,0,,0.0403,,,0.426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6007,33.5143,3.4433,0.20764,12.297,12.120,0.303,-0.0406,1.224,0.1913,0.005285,0.0000,0,0,,0.0445,,,0.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.6510,33.8629,3.5206,0.21252,12.170,11.927,0.490,-0.0216,1.228,0.1453,0.008547,0.0000,0,0,,0.0434,,,0.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7006,34.6408,3.6957,0.22208,11.887,11.730,0.682,-0.0112,1.434,0.1400,0.011904,0.0000,0,0,,0.0428,,,0.499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.7505,34.9895,3.7754,0.22548,11.754,11.530,0.991,-0.0141,1.485,0.0972,0.017301,0.0000,0,0,,0.0448,,,0.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.8013,35.3666,3.8631,0.22868,11.613,11.325,1.258,-0.0198,1.558,0.0681,0.021951,0.0000,0,0,,0.0434,,,0.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.8515,35.7388,3.9517,0.23172,11.477,11.118,1.209,-0.0274,1.636,0.0963,0.021110,0.0000,0,0,,0.0436,,,0.501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.9006,36.4482,4.1265,0.23805,11.198,10.906,1.392,-0.0200,1.700,0.0701,0.024293,0.0000,0,0,,0.0400,,,0.512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.9503,36.8051,4.2173,0.24172,11.048,10.690,1.480,-0.0202,2.095,0.1243,0.025826,0.0000,0,0,,0.0425,,,0.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0005,37.4643,4.3895,0.24945,10.771,10.471,1.474,-0.0353,1.825,0.0912,0.025725,0.0000,0,0,,0.0417,,,0.528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.0501,37.8060,4.4817,0.25407,10.615,10.249,0.520,-0.0565,1.143,0.1573,0.009082,0.0000,0,0,,0.0429,,,0.394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1003,38.4331,4.6553,0.26329,10.297,9.788,-0.147,-0.0535,0.235,0.1141,-0.002567,0.0000,0,0,,0.0424,,,0.496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
